DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
4,4,2024,24,68,22,0.0,1.90068,26.76824,31.80541,1.0,1.0,0.0,2.0,False,1.0
55,3,2024,24,68,22,0.0,1.90068,26.76824,31.80541,3.0,3.0,0.229,14.0,False,2.0
16,3,2024,24,68,22,0.0,1.90068,26.76824,31.80541,19.0,14.0,1.238,3.0,False,3.0
44,2,2024,24,68,22,0.0,1.90068,26.76824,31.80541,16.0,18.0,1.292,7.0,False,4.0
63,2,2024,24,68,22,0.0,1.90068,26.76824,31.80541,6.0,7.0,0.537,18.0,False,5.0
1,1,2024,24,68,22,0.0,1.90068,26.76824,31.80541,4.0,5.0,0.35,10.0,False,6.0
10,5,2024,24,68,22,0.0,1.90068,26.76824,31.80541,5.0,6.0,0.389,20.0,False,7.0
27,8,2024,24,68,22,0.0,1.90068,26.76824,31.80541,7.0,4.0,0.291,15.0,False,8.0
14,10,2024,24,68,22,0.0,1.90068,26.76824,31.80541,8.0,8.0,0.601,13.0,False,9.0
81,4,2024,24,68,22,0.0,1.90068,26.76824,31.80541,2.0,2.0,0.209,1.0,False,10.0
23,9,2024,24,68,22,0.0,1.90068,26.76824,31.80541,18.0,16.0,1.226,19.0,False,11.0
22,6,2024,24,68,22,0.0,1.90068,26.76824,31.80541,11.0,11.0,0.824,12.0,False,12.0
24,7,2024,24,68,22,0.0,1.90068,26.76824,31.80541,15.0,17.0,1.285,9.0,False,13.0
18,10,2024,24,68,22,0.0,1.90068,26.76824,31.80541,13.0,13.0,1.189,8.0,False,14.0
61,5,2024,24,68,22,0.0,1.90068,26.76824,31.80541,17.0,20.0,1.51,6.0,False,15.0
20,8,2024,24,68,22,0.0,1.90068,26.76824,31.80541,14.0,15.0,1.282,4.0,False,16.0
30,6,2024,24,68,22,0.0,1.90068,26.76824,31.80541,12.0,12.0,0.877,11.0,False,17.0
77,7,2024,24,68,22,0.0,1.90068,26.76824,31.80541,9.0,9.0,0.609,17.0,True,18.0
43,9,2024,24,68,22,0.0,1.90068,26.76824,31.80541,20.0,19.0,1.317,16.0,True,19.0
11,1,2024,24,68,22,0.0,1.90068,26.76824,31.80541,10.0,10.0,0.669,5.0,True,20.0
