DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,1.0,1.0,0.0,12.0,False,1.0
9,10,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,2.0,3.0,1.428,13.0,False,2.0
3,2,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,3.0,4.0,1.7690000000000001,5.0,False,3.0
1,3,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,10.0,11.0,1.8900000000000001,8.0,False,4.0
2,3,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,11.0,8.0,3.436,11.0,False,5.0
18,1,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,12.0,12.0,2.234,1.0,False,6.0
13,9,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,9.0,10.0,0.0,19.0,False,7.0
7,5,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,6.0,6.0,2.087,17.0,False,8.0
12,10,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,16.0,13.0,2.759,3.0,False,9.0
6,7,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,14.0,15.0,3.096,20.0,False,10.0
24,4,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,8.0,9.0,5.491,7.0,False,11.0
20,5,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,15.0,17.0,2.035,6.0,False,12.0
15,4,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,7.0,7.0,2.188,9.0,False,13.0
8,6,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,19.0,16.0,1.895,18.0,False,14.0
17,8,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,5.0,2.0,1.244,14.0,False,15.0
10,7,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,20.0,20.0,2.491,15.0,False,16.0
5,8,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,13.0,14.0,2.953,2.0,False,17.0
22,6,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,17.0,18.0,2.286,16.0,False,18.0
4,2,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,4.0,5.0,2.035,4.0,True,19.0
23,9,2023,8,30,9,0.0,0.0,10.350000000000001,17.925,70.75,18.0,19.0,2.4859999999999998,10.0,True,20.0
