Race,MAE,MSE,RMSE,R2,MedianAE,Spearman,Kendall
2025\Austin,2.210526315789474,8.631578947368421,2.9379548919900764,0.712280701754386,1.0,0.856140350877193,0.6842105263157894
2025\Baku,1.6842105263157894,5.473684210526316,2.3395906074624073,0.8175438596491228,1.0,0.9087719298245613,0.7660818713450293
2025\Barcelona,1.7647058823529411,8.470588235294118,2.9104275004359956,0.6470588235294117,1.0,0.823529411764706,0.6617647058823529
2025\Budapest,1.8,5.5,2.345207879911715,0.8345864661654135,1.0,0.9172932330827066,0.7578947368421053
2025\Imola,2.2222222222222223,7.888888888888889,2.8087165910587863,0.7069143446852425,2.0,0.8534571723426212,0.673202614379085
2025\Jeddah,1.4444444444444444,3.3333333333333335,1.8257418583505538,0.8761609907120743,1.0,0.9380804953560371,0.7908496732026145
2025\Las Vegas,3.3333333333333335,17.6,4.1952353926806065,0.05714285714285716,3.0,0.5285714285714286,0.40952380952380957
2025\Lusail,1.75,5.75,2.3979157616563596,0.7294117647058824,1.5,0.8647058823529412,0.7
2025\Marina Bay,2.4,10.0,3.1622776601683795,0.6992481203007519,2.0,0.849624060150376,0.6631578947368422
2025\Melbourne,2.7142857142857144,14.0,3.7416573867739413,0.1384615384615384,1.5,0.5692307692307692,0.4725274725274726
2025\Mexico City,1.875,7.25,2.692582403567252,0.6588235294117647,2.0,0.8294117647058824,0.6666666666666667
2025\Miami,1.5,3.25,1.8027756377319946,0.8470588235294118,1.5,0.9235294117647058,0.7666666666666667
2025\Monaco,1.7777777777777777,6.888888888888889,2.6246692913372702,0.7440660474716203,1.0,0.87203302373581,0.7124183006535948
2025\Montreal,2.0,6.0,2.449489742783178,0.75,1.0,0.875,0.7205882352941176
2025\Monza,1.7777777777777777,6.666666666666667,2.581988897471611,0.7523219814241486,1.0,0.8761609907120743,0.7254901960784316
2025\Sakhir,2.3333333333333335,10.555555555555555,3.2489314482696545,0.607843137254902,1.5,0.8039215686274509,0.6470588235294119
2025\Sao Paulo,2.235294117647059,8.941176470588236,2.990180006385608,0.6274509803921569,2.0,0.8137254901960784,0.6470588235294118
2025\Shanghai,2.5,12.625,3.553167600887974,0.40588235294117647,1.5,0.7029411764705883,0.5499999999999999
2025\Silverstone,3.7333333333333334,25.2,5.019960159204453,-0.3500000000000001,2.0,0.32499999999999996,0.18095238095238098
2025\Spa-Francorchamps,2.5,12.3,3.5071355833500366,0.6300751879699248,1.0,0.8150375939849623,0.6736842105263158
2025\Spielberg,2.125,10.0,3.1622776601683795,0.5294117647058824,1.0,0.7647058823529411,0.5833333333333334
2025\Suzuka,0.9,2.5,1.5811388300841898,0.924812030075188,0.0,0.9624060150375938,0.8842105263157894
2025\Yas Island,2.3,10.4,3.22490309931942,0.687218045112782,1.5,0.8436090225563909,0.6842105263157895
2025\Zandvoort,4.117647058823529,27.529411764705884,5.246847793171238,-0.1470588235294117,3.0,0.4264705882352942,0.2647058823529411
